;[<6,1>, <20,1>, <22,1>, <48,1>, <50,1>, <54,1>, <58,1>, <83,1>, <90,1>]
spilling;[<87,1>]
resund;[<21,2>]
abrupt;[<78,1>]
carantanians;[<71,3>]
salary;[<37,1>, <70,1>, <87,1>, <105,1>]
362d;[<37,1>]
naturalized;[<37,1>]
douzelage;[<21,1>, <31,1>, <53,1>]
guards;[<21,1>]
widowhood;[<71,1>]
avant;[<71,1>]
samalla;[<93,1>]
spreading;[<47,1>, <71,2>, <105,1>]
carriers;[<23,1>, <71,1>, <100,2>]
alphonse;[<12,1>]
lexeme;[<35,2>]
sigourney;[<71,1>]
0;[<7,1>, <9,7>, <15,7>, <16,3>, <18,3>, <19,1>, <21,49>, <23,7>, <25,2>, <29,12>, <35,13>, <37,45>, <40,55>, <43,7>, <44,3>, <50,4>, <58,1>, <63,1>, <70,36>, <71,41>, <73,40>, <75,4>, <77,3>, <78,13>, <80,1>, <82,2>, <85,1>, <87,59>, <88,35>, <90,1>, <92,6>, <100,51>, <101,9>, <105,121>]
1;[<6,1>, <2,2>, <8,1>, <0,9>, <1,1>, <4,31>, <9,18>, <10,29>, <12,2>, <13,50>, <15,2>, <17,11>, <18,2>, <20,1>, <21,123>, <22,1>, <24,1>, <23,45>, <25,4>, <26,5>, <27,1>, <28,1>, <29,2>, <30,1>, <31,10>, <32,3>, <33,9>, <34,9>, <37,78>, <38,11>, <39,3>, <40,146>, <41,3>, <42,4>, <43,3>, <45,1>, <46,9>, <47,6>, <48,6>, <50,5>, <54,3>, <55,2>, <53,14>, <56,9>, <57,1>, <58,2>, <60,3>, <61,4>, <62,34>, <63,13>, <65,5>, <66,2>, <67,3>, <68,9>, <69,10>, <70,115>, <71,99>, <73,12>, <74,4>, <75,10>, <76,1>, <77,9>, <78,34>, <79,5>, <80,1>, <82,10>, <83,1>, <84,4>, <85,3>, <86,3>, <87,98>, <88,95>, <89,9>, <90,5>, <91,9>, <92,10>, <93,3>, <95,6>, <96,1>, <97,9>, <98,9>, <99,5>, <100,138>, <101,5>, <104,1>, <105,144>]
theenactment;[<10,1>]
2;[<6,2>, <2,2>, <0,5>, <1,1>, <8,1>, <4,30>, <9,15>, <10,32>, <11,2>, <12,1>, <13,33>, <15,17>, <16,3>, <17,11>, <18,13>, <19,1>, <20,1>, <21,70>, <24,1>, <23,64>, <25,12>, <26,7>, <27,1>, <29,3>, <30,6>, <31,13>, <32,2>, <33,6>, <34,5>, <37,93>, <38,9>, <39,2>, <40,113>, <41,1>, <42,6>, <43,18>, <46,5>, <48,7>, <50,2>, <54,6>, <55,1>, <53,13>, <56,5>, <57,2>, <58,4>, <59,2>, <60,5>, <61,4>, <62,28>, <63,9>, <65,13>, <66,4>, <67,2>, <68,5>, <69,8>, <70,63>, <71,117>, <73,8>, <74,2>, <75,5>, <77,6>, <78,24>, <79,6>, <82,11>, <83,1>, <84,3>, <85,3>, <86,1>, <87,79>, <88,72>, <89,5>, <90,1>, <91,5>, <92,12>, <93,3>, <95,2>, <96,2>, <97,5>, <98,5>, <99,5>, <100,95>, <101,10>, <104,1>, <105,94>]
3;[<2,1>, <7,1>, <0,1>, <1,2>, <4,24>, <9,15>, <10,14>, <12,2>, <13,24>, <15,7>, <16,1>, <17,13>, <18,7>, <19,1>, <21,98>, <24,1>, <23,27>, <25,3>, <26,1>, <29,8>, <30,3>, <31,7>, <32,1>, <33,4>, <34,1>, <35,1>, <37,42>, <38,4>, <39,2>, <40,105>, <41,3>, <42,4>, <43,7>, <44,1>, <46,1>, <48,3>, <50,2>, <54,1>, <55,1>, <53,5>, <56,1>, <60,8>, <61,4>, <62,20>, <63,28>, <65,4>, <66,4>, <67,2>, <68,1>, <69,12>, <70,61>, <71,71>, <73,13>, <74,5>, <75,9>, <77,14>, <78,31>, <79,10>, <80,1>, <82,5>, <84,2>, <85,1>, <86,1>, <87,53>, <88,48>, <89,1>, <90,1>, <91,1>, <92,6>, <93,2>, <95,2>, <97,1>, <98,1>, <99,2>, <100,76>, <101,6>, <103,1>, <104,1>, <105,77>]
depictions;[<37,1>]
4;[<2,4>, <0,1>, <1,1>, <4,22>, <9,5>, <10,14>, <12,1>, <13,28>, <14,2>, <15,7>, <16,1>, <17,9>, <18,5>, <21,68>, <23,36>, <25,2>, <26,1>, <29,5>, <30,2>, <31,3>, <33,3>, <34,1>, <37,45>, <38,3>, <39,2>, <40,77>, <41,2>, <42,3>, <43,7>, <46,1>, <48,1>, <55,1>, <53,3>, <56,1>, <60,12>, <61,2>, <62,10>, <63,5>, <65,5>, <66,3>, <67,3>, <68,1>, <69,15>, <70,38>, <71,59>, <73,2>, <74,5>, <75,8>, <77,4>, <78,14>, <79,4>, <82,5>, <84,2>, <87,48>, <88,30>, <89,1>, <90,1>, <91,1>, <92,2>, <93,1>, <95,1>, <97,1>, <98,1>, <99,3>, <100,73>, <101,3>, <104,3>, <105,88>]
5;[<0,1>, <4,14>, <9,15>, <10,8>, <11,2>, <13,35>, <15,41>, <16,3>, <17,3>, <18,36>, <21,54>, <24,1>, <23,25>, <25,3>, <28,2>, <30,8>, <31,4>, <33,6>, <34,1>, <38,2>, <37,53>, <39,1>, <40,75>, <41,1>, <42,2>, <43,41>, <46,1>, <47,1>, <48,2>, <50,1>, <54,1>, <55,4>, <53,6>, <56,1>, <60,7>, <61,7>, <62,8>, <63,11>, <65,3>, <66,5>, <67,2>, <68,1>, <69,7>, <70,40>, <71,69>, <73,14>, <74,4>, <75,3>, <77,9>, <78,21>, <79,4>, <82,6>, <84,2>, <85,1>, <87,67>, <88,42>, <89,1>, <90,2>, <91,1>, <93,1>, <97,1>, <98,1>, <99,2>, <100,76>, <101,1>, <103,2>, <104,4>, <105,88>]
6;[<0,1>, <4,12>, <9,5>, <10,16>, <13,4>, <15,1>, <17,9>, <18,1>, <21,58>, <23,27>, <25,3>, <30,1>, <33,1>, <34,1>, <38,2>, <37,47>, <39,1>, <40,60>, <41,2>, <42,2>, <43,1>, <46,1>, <47,1>, <54,1>, <55,2>, <53,3>, <57,1>, <56,1>, <60,2>, <61,3>, <62,3>, <63,5>, <65,2>, <66,1>, <67,2>, <68,1>, <69,9>, <70,55>, <71,47>, <73,3>, <74,3>, <75,5>, <77,4>, <78,23>, <79,2>, <82,7>, <84,3>, <87,45>, <88,39>, <89,1>, <91,1>, <92,1>, <93,1>, <96,1>, <97,1>, <98,1>, <99,2>, <100,55>, <101,1>, <103,1>, <104,1>, <105,66>]
7;[<0,1>, <1,1>, <4,5>, <9,2>, <10,9>, <11,2>, <13,8>, <15,1>, <17,2>, <18,1>, <20,1>, <21,32>, <23,16>, <25,2>, <26,52>, <30,4>, <31,3>, <33,7>, <34,1>, <35,1>, <38,3>, <37,44>, <39,1>, <40,61>, <41,1>, <42,2>, <43,1>, <46,1>, <47,5>, <49,1>, <50,1>, <52,4>, <54,7>, <55,1>, <53,1>, <59,6>, <56,1>, <60,25>, <61,10>, <62,1>, <63,11>, <65,2>, <66,4>, <67,10>, <68,1>, <69,8>, <70,40>, <71,53>, <72,4>, <73,9>, <74,9>, <75,2>, <77,3>, <78,9>, <79,2>, <82,9>, <83,3>, <84,1>, <85,2>, <87,48>, <88,29>, <89,1>, <90,1>, <91,1>, <92,1>, <93,2>, <95,2>, <97,1>, <98,1>, <99,1>, <100,60>, <101,1>, <104,2>, <105,79>]
8;[<6,1>, <8,1>, <0,4>, <4,6>, <9,1>, <10,3>, <11,1>, <12,1>, <13,6>, <15,2>, <17,3>, <18,1>, <20,1>, <21,40>, <23,14>, <25,3>, <26,53>, <30,5>, <33,3>, <34,4>, <38,1>, <37,41>, <40,58>, <42,1>, <43,3>, <46,4>, <48,1>, <49,10>, <50,1>, <55,1>, <53,2>, <58,1>, <56,4>, <60,4>, <61,4>, <63,8>, <65,3>, <66,5>, <67,1>, <68,4>, <69,7>, <70,41>, <71,68>, <73,7>, <74,6>, <75,2>, <77,3>, <78,8>, <79,3>, <82,2>, <84,1>, <85,2>, <86,1>, <87,33>, <88,24>, <89,4>, <90,4>, <91,4>, <92,3>, <93,1>, <97,4>, <98,4>, <99,2>, <100,41>, <101,1>, <104,1>, <105,69>]
9;[<6,2>, <0,50>, <4,4>, <9,1>, <10,5>, <11,2>, <12,1>, <13,12>, <15,49>, <16,3>, <17,2>, <18,45>, <20,2>, <22,2>, <21,42>, <23,13>, <25,1>, <26,3>, <27,1>, <30,9>, <32,1>, <33,4>, <34,50>, <35,2>, <38,1>, <37,31>, <39,1>, <40,38>, <41,1>, <42,2>, <43,50>, <46,50>, <47,1>, <48,1>, <54,2>, <55,4>, <53,13>, <59,3>, <56,50>, <60,1>, <61,5>, <63,3>, <65,5>, <66,3>, <67,1>, <68,50>, <69,3>, <70,34>, <71,36>, <73,7>, <74,11>, <75,2>, <77,3>, <78,7>, <79,1>, <82,1>, <83,2>, <84,1>, <85,2>, <87,36>, <88,27>, <89,50>, <90,3>, <91,50>, <93,2>, <94,1>, <97,50>, <98,50>, <99,2>, <100,44>, <103,3>, <104,2>, <105,99>]
guarda;[<37,7>]
1000;[<21,2>, <23,1>, <37,3>, <40,6>, <71,1>, <78,1>, <87,3>, <100,4>]
lebens;[<78,1>]
nartnik;[<71,1>]
qeshm;[<37,1>]
fontana;[<78,2>, <100,1>]
968169;[<21,1>]
result;[<4,2>, <9,1>, <21,5>, <23,1>, <25,1>, <31,1>, <36,2>, <37,3>, <40,13>, <47,1>, <53,2>, <63,1>, <62,3>, <71,2>, <73,2>, <74,5>, <75,3>, <78,3>, <87,4>, <88,1>, <100,6>, <105,6>]
cimbalon;[<71,1>]
